DOI,title,1,2,3,4,5
10.1016/j.iswcr.2016.08.004,Change in rainfall erosivity in the past and future due to climate change in the central part of India (2016),rainfal eros ha increas due to the project increas in the futur rainfal ( s) in comparison to the past.,this economi depend on rainfal and is locat in a part of the narmada river basin in central india.,the select studi area is main a cultiv area with an agricultur base economy.,"rainfal eros vari from -.% to .% in the s, -.",this studi illustr the variat of rainfal eros due to chang rainfal in the past and the future.
10.1007/s11269-016-1549-6,Downscaling Monsoon Rainfall over River Godavari Basin under Different Climate-Change Scenarios (2016),"in the present study, godavari river basin in india is taken a studi area to project the month monsoon precipit use statist downscaling.","a statist relationship is establish between the predictor and predictand (monsoon rainfall) to project the monsoon rainfal for the futur use the canadian earth system model (canesm) over imd grid point under the repres concentr pathway ., .",downscal procedur is appli to all  imd grid point over the basin to find out the spatial distribut of monsoon rainfal for the futur scenarios.,scenario of fifth coupl model inter-comparison project (cmip ).,scenario result show an increas trend.
10.1061/(ASCE)HY.1943-7900.0000125,Effect of Time Scale on the Performance of Different Sediment Transport Formulas in a Semiarid Region (2010),the engelund-hansen and van rijn formula (suspend sediment transport) estim well the sediment load and are larg unaffect by variat in time scale.,this note compar the perform of various sediment transport formula for a semiarid region of southern itali (puglia region).,,,
10.1016/j.jhydrol.2017.02.026,Variation in reach-scale bankfull discharge of the Jingjiang Reach undergoing upstream and downstream boundary controls (2017),this relat for the predict of reach-scal bankful discharg wa verifi use the measur in -.,"the calcul result indic that: (i) the reach-scal bankful discharg in the jingjiang reach rang between , and , m()/s over this period, with the averag bankful discharg in the upper jingjiang reach be general greater than the valu in the lower jingjiang reach; (ii) the magnitud of the reach-scal bankful discharg respond well to the cumul effect of incom flow and sediment condit at the inlet boundary, a well a the chang of local base level at the outlet boundary; and (iii) the flood-discharg capac of the reach wa control by both the upstream and downstream boundari conditions, and the reach-scal bankful discharg wa express by an empir function of the previous five-year averag fluvial eros intens dure flood season at zhicheng, and the differ between the flood-season averag water stage at zhicheng (upstream) and lianhuatang (downstream), with a relat high correl degre between them be obtained.","in this study, a general method to calcul the section-scal bankful discharg use the simul stage-discharg relat is outlin briefly, and an integr method is then present for estim the reach-scal bankful discharge.","the post-flood reach-scal bankful discharg in the studi reach from  to  were calculated, use the propos method, base on survey post-flood profil at  section and measur hydrolog data at three hydrometr section and eight water gaug sections.",
10.1016/j.jhydrol.2018.10.042,"Interception, throughfall and stemflow partition in drylands: Global synthesis and meta-analysis (2019)","on average, interception, throughfal and stemflow account for ., .",to .% (p = .,to .% (p < .),to .% (p < .).,"and .% of total rainfall, respectively."
10.3354/cr01296,Rainfall and streamflows in the Greater Melbourne catchment area: variability and recent anomalies (2015),"however, across these catchments, the large-scal mode of natur variabl do not explain the long-term deficit in streamflow in the last  yr. annual streamflow in these wet catchment can skil be reconstruct month by month use catchment-wid observ rainfall.","maximum temperatur doe not have a sizeabl addit impact when ad to the reconstruction, while the previous  mo of rainfal contribut to about % of the reconstruct abil to captur mani of these statistics.",these catchment provid drink water for about % of the state of victoria popul and henc are critical.,"observ rainfal and water avail is investig across sever catchment northeast of melbourn use grid rainfal data over the last  yr and reconstruct streamflow observ for the last  yr, focus on the - record-break rainfal deficits, associ record-low streamflow and subsequ recoveri from  to .","the year-to-year variability, declin dure the last  yr and magnitud of the defici dure the millennium drought are reason well captur but not fulli account for by the linear combin of rainfal in the current month, the previous month and the previous  mo."
10.1007/s11069-018-3511-9,"Urban floods in Hyderabad, India, under present and future rainfall scenarios: a case study (2019)","predict a futur extrem rainfal of mm, mm, mm and mm for the year , ,  and , respectively.","nonlinear regression-bas statist downscal wa use to obtain rainfal at region scale for repres concentr pathway (rcps) ., ., .",the runoff simul were carri out for histor and futur extrem rainfal event(s).,the catchment runoff volum wa simul use storm water manag model (swmm).,"however, it wa inadequ to convey runoff from rcps ., ."
10.1007/BF00141278,Simulation of a heavy wintertime precipitation event in California (1996),maximum rainfal wa locat near the  km elev along the western slope of the sierra-nevada while snowfal maximum appear along the ridg of the sierra nevada mountains.,km while much of the snowfal over lower elev melted.,"due to rainshadow effects, the central valley area, which is locat at the lee side of the coastal range, receiv onli a small amount of precipitation.","in addit to the tempor variat of the large-scal flow, local topographi play a crucial role in the simul precipit and land-surfac snow budget through orographically-gener vertic motion and a decreas of atmospher temperatur with increas altitude.",a coupl mesoscal atmospheric-land surfac model is use to simul a twelve-day heavi precipit event in california.
10.3390/w8060246,Assessment of Impacts of Climate Change on the Water Resources of the Transboundary Jhelum River Basin of Pakistan and India (2016),"maximum increas at azad pattan wa project in winter in the s, with about %-% increas in flow under both scenarios.","a hydrolog model, hydrolog model system (hec-hms), wa set up, calibrated, and valid for the jhelum basin, and then streamflow wa simul for three futur periods: -, -, and -.","however, pakistan is includ in the most water-stress countri in the world, and it water resourc are consider vulner to climat variabl and climat change.","winter, spring, and autumn show an increas in streamflow at most of the site in all three periods.",the result of the studi show an increas of %-% in the mean annual flow a compar to the baselin flow at the end of this century.
10.3390/w11020253,Evaluation and Analysis of Grid Precipitation Fusion Products in Jinsha River Basin Based on China Meteorological Assimilation Datasets for the SWAT Model (2019),"accord to the result of hydrolog applic analysi base on swat model, the three kind of data fail to obtain higher accuraci on hydrolog simulation.","on the whole, the three type of satellit precipit data have high accuraci on statist analysi and averag accuraci on hydrolog simul in the jinsha river basin, which have certain hydrolog applic potential.",the result of statist analysi show that the three kind of data have relat high accuraci on the averag grid scale and the correl coeffici are all greater than .,the perform in the averag grid scale is superior than that in grid scale.,"), follow by tmpa (nse:.)"
