DOI,title,1,2,3,4,5
10.1016/j.scitotenv.2005.02.015,Modelling through-soil transport of phosphorus to surface waters from livestock agriculture at the field and catchment scale (2005),"the main contamin transport mechan consid at both field and catchment scale is p sorb onto mobil colloid faec particles, which move through the soil by macropor flow.","however, there wa a lack of inform about a number paramet that would be requir to carri out a more exact calibr and provid a rigor test of the model procedure.","in the catchment study, a dairi farm is assum to be compos of field link by a linear system of ditch which discharg into a singl river channel.","this repres an altern to surfac runoff transport, a mechan to which high p loss from livestock fan area have often been attributed.",it wa nevertheless conclud that through soil flow of colloid sorb p by macropor flow repres a high plausibl mechan by which p is transport to river system in livestock farm catchments.
10.3390/w10121817,"Assessment of Soil Erosion Dynamics Using the GIS-Based RUSLE Model: A Case Study of Wangjiagou Watershed from the Three Gorges Reservoir Region, Southwestern China (2018)","eros intens wa moderate, with a mean soil loss of .","assess soil eros dynam in such watersh is use for identifi it caus and tendenc to develop, in turn provid scientif inform for soil and water conserv at the region scale.","in the present study, the spatial and tempor pattern of soil eros of a small agricultur watersh in central tgrr were investig from  to  use the revis univers soil loss equat (rusle) model, combin with geograph inform system (gis).",,
10.3390/su10124773,Vulnerability Assessment of Soil and Water Loss in Loess Plateau and Its Impact on Farmers' Soil and Water Conservation Adaptive Behavior (2018),physic capit ha a posit impact on farmer adopt behavior of biolog measures.,it ha also provid a new perspect for studi the farmer adopt behavior of soil and water conserv technolog in the soil eros area of the loess plateau.,"social capit ha a posit impact on farmer adopt behavior of engin measur and biolog measures; () overall, the margin effect of the adopt behavior of farmer soil and water conserv techniques, adapt > suscept > exposure.",financi capit ha a negat impact on farmer adopt behavior of biolog measur and farm measures.,"finally, we use the binari logist model to estim the impact mechan of farmer soil eros vulner on farmer adopt behavior of soil and water conserv technology."
10.1080/09593331608616261,ELECTRICAL-CONDUCTIVITY USED FOR EVALUATION OF COMPETING ION EFFECTS ON RADIONUCLIDE UPTAKE BY PLANT-ROOTS (1995),"in this study, use electr conduct (ec) wa propos a an altern of ion concentr for evalu the compet effect on uptak of cation radionuclid (mn-, co-, zn-, sr-, cs-) by a leafi plant (brassica campestris).","although compet ion concentr is one of the sensit factor affect radionuclid transfer in a soil-to-crop pathway, continu measur of each ion concentr is now difficult in an actual field.","for cs-, the compet effect wa found to be relat small.",,
10.1016/S0378-3774(99)00044-X,Analysis of DRAINMOD performances with different detail of soil input data in the Veneto region of Italy (2000),the object wa to determin whether a minim set of field data would suffic to use drainmod for predict purposes.,more elabor data improv the estimates.,the result indic that even veri limit input data (textur and poros of the top  cm of soil) gave good predictions.,,
10.1016/j.advwatres.2018.10.007,Impact of uncertainty in soil texture parameters on estimation of soil moisture through radio waves transmission (2018),"among indirect methods, here we focus on wireless underground communic network (wucns) which is a promis techniqu base on the transmiss of radio wave to a buri collector.",these process are critic in sever field relat to water resourc includ precis agricultur and drought management.,"in particular, we studi the influenc of poros and of sand and clay content and found signific differ result for divers soil types, thus suggest the import of a preliminari gsa to guid the design of measur campaign on field.",this is critic to identifi which textur paramet requir accur estim to narrow the uncertainti associ with predict in practic applications.,soil moistur is a key paramet which govern the soil water balanc and affect hydrolog process such a water infiltr and evapotranspiration.
10.1016/j.jhydrol.2014.07.060,Field-scale moisture estimates using COSMOS sensors: A validation study with temporary networks and Leaf-Area-Indices (2014),"this station ha a larg array of soil moistur sensor in profil across the field, which is approxim  m in diameter.",mani of the site use in the earli valid of the system had low and stabl veget water content.,"a cosmos station wa instal in beltsville, md in the spring of , within the domain of a long-term experiment station on usda property.","it is necessari to perform valid of cosmos in a landscap with a signific chang in veget water content to estim it impact on the cosmos estimate, and potentially, correct the estim to account for the dynam veget cover.",the cosmic-ray soil moistur observ system (cosmos) is a new and innov method for estim surfac and near-surfac soil moistur at larg (similar to  m) scales.
10.1016/j.ibiod.2005.05.003,Field-scale bioremediation of pentachlorophenol by Trametes versicolor (2005),"years, paramet studi were the effect of a new zealand white-rot fungus tramet versicolor isol on pcp degradation, the effect of fungal inoculum concentr on pcp degrad and reproduc of the experiments.",pcp degrad and fungal surviv were monitor at regular interv for .,in experi setup in januari  and monitor at regular interv for .,pcp residu declin from - mg kg(-) to  (-.,"there wa no effect of inoculum concentration, and treatment effect were reproducible."
10.1016/j.jhydrol.2014.06.003,"Estimation of soil water storage using temporal stability in four land uses over 10 years on the Loess Plateau, China (2014)",the most time-st locat (mtsls) for the various layer and the locat at mid-slop for each land use were select on  sampl occas dure a calibr period from juli  to decemb .,"the degre of tempor stabil of swss wa rank a cl > fl > gl > sl, and the tempor stabil of swss in sl and gl decreas with increas length of observ period, a indic by lower mean spearman correl for all soil layers.",this studi test and valid the feasibl of estim mean sws over multipl year by the swss at select locations.,a valid data set from januari  to octob  wa use to test the length of time the estim of mean sws remain valid.,"the swss in sl and gl decreas with plant growth, and the tempor variat were larger in sl and gl than in fl and cl the tempor stabil of the swss wa high for all soil layer in four land uses, with the rank correl over the threshold of signific (a = .)"
10.5194/hess-19-4765-2015,Evaluation of soil moisture downscaling using a simple thermal-based proxy - the REMEDHUS network (Spain) example (2015),"furthermore, slight better perform of msg seviri over modi wa observed, which suggest the high potenti of appli a geostationari satellit for downscal soil moistur in the future.","soil moistur retriev from satellit microwav remot sens normal ha spatial resolut on the order of ten of kilometers, which are too coars for mani region hydrolog applic such a agricultur monitor and drought prediction.",the accuraci level is compar to other downscal method that were also valid against the remedhus network.,"the result from direct valid against soil moistur observations, spatial pattern comparison, a well a season and land use analysi show that the downscal method can signific improv the spatial detail of cci soil moistur while maintain the accuraci of cci soil moisture.","overall, consid the simplicity, limit data requir and compar accuraci level to other complex methods, the vtci downscal method can facilit relev hydrolog applic that requir high spatial and tempor resolut soil moisture."
